"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34123","False","False","4/9/2024 10:51:32 AM","5/3/2026 6:03:42 PM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11683","False","False","12/27/2018 11:58:12 PM","5/3/2026 1:57:14 PM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:computer-vision language:Python stars:>=50"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","False","False","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","Face recognition using Tensorflow","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","topic:computer-vision language:Python stars:>=50"
"janhq/jan","https://github.com/janhq/jan","janhq","TypeScript","42352","False","False","8/17/2023 2:17:10 AM","5/3/2026 6:19:06 PM","Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.","chatgpt;gpt;llamacpp;llm;localai;open-source;self-hosted;tauri","topic:llm stars:>=100"
"PeterL1n/BackgroundMattingV2","https://github.com/PeterL1n/BackgroundMattingV2","PeterL1n","Python","7157","False","False","12/1/2020 12:26:17 AM","4/30/2026 3:33:28 AM","Real-Time High-Resolution Background Matting","computer-vision;machine-learning;matting;real-time","topic:computer-vision language:Python stars:>=50"
"KaiyangZhou/deep-person-reid","https://github.com/KaiyangZhou/deep-person-reid","KaiyangZhou","Python","4818","False","False","3/11/2018 9:14:39 PM","5/3/2026 2:57:41 PM","Torchreid: Deep learning person re-identification in PyTorch.","computer-vision;cross-domain;deep-learning;deep-neural-networks;image-retrieval;machine-learning;metric-learning;person-reid;person-reidentification;pytorch;re-ranking","topic:computer-vision language:Python stars:>=50"
"1038lab/ComfyUI-RMBG","https://github.com/1038lab/ComfyUI-RMBG","1038lab","Python","1915","False","False","11/14/2024 5:48:27 PM","5/3/2026 3:45:57 PM","A ComfyUI custom node designed for advanced image background removal and object, face, clothes, and fashion segmentation, utilizing multiple models including RMBG-2.0, INSPYRENET, BEN, BEN2, BiRefNet, SDMatte, SAM, SAM2, SAM3 and GroundingDINO.","comfyui;comfyui-nodes;image;mask;remove-background;segmentation;stable-diffusion","advanced language:Python stars:>=50"
"voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","False","False","4/22/2020 1:43:28 PM","5/2/2026 5:17:51 PM","Refine high-quality datasets and visual AI models","active-learning;artificial-intelligence;computer-vision;data-centric-ai;data-cleaning;data-curation;data-quality;data-science;deep-learning;developer-tools;image-classification;machine-learning;object-detection;python;unstructured-data;vector-search;visualization","topic:computer-vision language:Python stars:>=50"
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37949","False","False","3/31/2023 12:12:45 PM","5/3/2026 4:23:31 PM","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","chatbot;chatchat;chatglm;chatgpt;embedding;faiss;fastchat;gpt;knowledge-base;langchain;langchain-chatglm;llama;llm;milvus;ollama;qwen;rag;retrieval-augmented-generation;streamlit;xinference","topic:llm stars:>=100"
"lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16357","False","False","12/11/2020 4:35:13 PM","5/3/2026 3:54:09 PM","pix2tex: Using a ViT to convert images of equations into LaTeX code.","dataset;deep-learning;im2latex;im2markup;im2text;image-processing;image2text;latex;latex-ocr;machine-learning;math-ocr;ocr;python;pytorch;transformer;vision-transformer;vit","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77606","False","False","8/23/2017 4:40:24 AM","5/3/2026 6:06:54 PM","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。","book;chinese;computer-vision;deep-learning;machine-learning;natural-language-processing;notebook;python","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50"
"NVlabs/neuralangelo","https://github.com/NVlabs/neuralangelo","NVlabs","Python","4591","False","False","6/23/2023 8:52:42 PM","5/1/2026 10:13:07 AM","Official implementation of ""Neuralangelo: High-Fidelity Neural Surface Reconstruction"" (CVPR 2023)","3d-reconstruction;computer-graphics;computer-vision;neural-rendering;neural-representation","topic:computer-vision language:Python stars:>=50"
"imatge-upc/retrieval-2017-cam","https://github.com/imatge-upc/retrieval-2017-cam","imatge-upc","Python","224","False","False","3/21/2016 11:35:27 AM","11/17/2024 1:53:09 AM","Class-Weighted Convolutional Features for Image Retrieval (BMVC 2017)","cam;class-activation-maps;convolutional-neural-networks;deep-learning;image-retrieval;keras;pytorch;transfer-learning;vgg16;visual-instance-search","topic:class-activation-maps language:Python stars:>=50"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","172566","False","False","1/18/2026 12:51:51 AM","5/3/2026 6:21:53 PM","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","topic:llm stars:>=100"
"langgenius/dify","https://github.com/langgenius/dify","langgenius","TypeScript","139973","False","False","4/12/2023 7:40:24 AM","5/3/2026 6:00:44 PM","Production-ready platform for agentic workflow development.","agent;agentic-ai;agentic-framework;agentic-workflow;ai;automation;gemini;genai;gpt;gpt-4;llm;low-code;mcp;nextjs;no-code;openai;orchestration;python;rag;workflow","topic:llm stars:>=100"
"s0md3v/XSStrike","https://github.com/s0md3v/XSStrike","s0md3v","Python","14934","False","False","6/26/2017 7:24:44 AM","5/2/2026 3:50:23 PM","Most advanced XSS scanner.","waf-detection;xss;xss-bruteforce;xss-detection;xss-exploit;xss-python;xss-scanner;xsstrike","advanced language:Python stars:>=50"
"WZMIAOMIAO/deep-learning-for-image-processing","https://github.com/WZMIAOMIAO/deep-learning-for-image-processing","WZMIAOMIAO","Python","26229","False","False","11/14/2019 3:02:27 PM","5/3/2026 9:19:26 AM","deep learning for image processing including classification and object-detection etc.","bilibili;classification;deep-learning;object-detection;pytorch;segmentation;tensorflow2","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50"
"roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38298","False","False","11/28/2022 2:08:44 PM","5/3/2026 2:15:30 PM","We write your reusable computer vision tools. 💜","classification;coco;computer-vision;deep-learning;hacktoberfest;image-processing;instance-segmentation;low-code;machine-learning;metrics;object-detection;oriented-bounding-box;pascal-voc;python;pytorch;tensorflow;tracking;video-processing;yolo","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50"
"mlfoundations/open_clip","https://github.com/mlfoundations/open_clip","mlfoundations","Python","13764","False","False","7/28/2021 11:24:39 PM","5/3/2026 7:54:12 AM","An open source implementation of CLIP.","computer-vision;contrastive-loss;deep-learning;language-model;multi-modal-learning;pretrained-models;pytorch;zero-shot-classification","topic:computer-vision language:Python stars:>=50"
"obss/sahi","https://github.com/obss/sahi","obss","Python","5265","False","False","1/30/2021 12:54:53 PM","5/2/2026 3:12:07 AM","Framework agnostic sliced/tiled inference + interactive ui + error analysis plots","coco;computer-vision;deep-learning;explainable-ai;fiftyone;hacktoberfest;huggingface;instance-segmentation;large-image;machine-learning;mmdetection;object-detection;oriented-object-detection;python;pytorch;remote-sensing;satellite;small-object-detection;tiling;yolo11","topic:computer-vision language:Python stars:>=50"
"camel-ai/camel","https://github.com/camel-ai/camel","camel-ai","Python","16863","False","False","3/17/2023 9:41:54 PM","5/3/2026 2:02:51 PM","🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org","agent;ai-societies;artificial-intelligence;communicative-ai;cooperative-ai;deep-learning;large-language-models;multi-agent-systems;natural-language-processing","topic:deep-learning language:Python stars:>=50"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","PaddlePaddle","Python","6943","False","False","4/20/2017 1:30:15 PM","5/2/2026 1:34:25 PM","Officially maintained, supported by PaddlePaddle, including CV, NLP, Speech, Rec, TS, big models and so on.","computer-vision;cv;deep-learning;models;natural-language-processing;neural-network;nlp;paddlepaddle;recommendation;speech","topic:computer-vision language:Python stars:>=50"
