"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34123","False","False","4/9/2024 10:51:32 AM","5/3/2026 6:03:42 PM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11683","False","False","12/27/2018 11:58:12 PM","5/3/2026 1:57:14 PM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:computer-vision language:Python stars:>=50"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","False","False","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","Face recognition using Tensorflow","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","topic:computer-vision language:Python stars:>=50"
"janhq/jan","https://github.com/janhq/jan","janhq","TypeScript","42352","False","False","8/17/2023 2:17:10 AM","5/3/2026 6:19:06 PM","Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.","chatgpt;gpt;llamacpp;llm;localai;open-source;self-hosted;tauri","topic:llm stars:>=100"
"PeterL1n/BackgroundMattingV2","https://github.com/PeterL1n/BackgroundMattingV2","PeterL1n","Python","7157","False","False","12/1/2020 12:26:17 AM","4/30/2026 3:33:28 AM","Real-Time High-Resolution Background Matting","computer-vision;machine-learning;matting;real-time","topic:computer-vision language:Python stars:>=50"
"PaddlePaddle/PaddleX","https://github.com/PaddlePaddle/PaddleX","PaddlePaddle","Python","6126","False","False","3/11/2020 7:58:44 AM","5/3/2026 3:54:06 PM","All-in-One Development Tool based on PaddlePaddle","ai-pipelines;classification;deployment;formula-recognition;layout-detection;object-detection;ocr;pdf2markdown;pp-chatocr;segmentation;speech-recognition;time-series","segmentation language:Python stars:>=50"
"voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","False","False","4/22/2020 1:43:28 PM","5/2/2026 5:17:51 PM","Refine high-quality datasets and visual AI models","active-learning;artificial-intelligence;computer-vision;data-centric-ai;data-cleaning;data-curation;data-quality;data-science;deep-learning;developer-tools;image-classification;machine-learning;object-detection;python;unstructured-data;vector-search;visualization","topic:computer-vision language:Python stars:>=50"
"LikeLy-Journey/SegmenTron","https://github.com/LikeLy-Journey/SegmenTron","LikeLy-Journey","Python","726","False","False","10/20/2019 4:06:21 AM","5/1/2026 6:17:23 PM","Support PointRend, Fast_SCNN, HRNet, Deeplabv3_plus(xception, resnet, mobilenet), ContextNet, FPENet, DABNet, EdaNet, ENet, Espnetv2, RefineNet, UNet, DANet, HRNet, DFANet, HardNet, LedNet, OCNet, EncNet, DuNet, CGNet, CCNet, BiSeNet, PSPNet, ICNet, FCN, deeplab) ","ccnet;cityscapes;coco;deeplab-v3-plus;deeplabv3plus;eval;fast-scnn;hrnet;mobilenet;pointrend;pytorch;xception","topic:deeplab-v3-plus language:Python stars:>=50"
"ssrajadh/sentrysearch","https://github.com/ssrajadh/sentrysearch","ssrajadh","Python","3800","False","False","3/17/2026 10:41:11 PM","5/3/2026 6:26:44 PM","Semantic search over videos using Gemini Embedding 2 or Qwen3-VL.","chromadb;dashcam;gemini;gemini-embedding-2;mp4;qwen3-vl;semantic-search;tesla;video","semantic language:Python stars:>=50"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77606","False","False","8/23/2017 4:40:24 AM","5/3/2026 6:06:54 PM","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。","book;chinese;computer-vision;deep-learning;machine-learning;natural-language-processing;notebook;python","topic:computer-vision language:Python stars:>=50"
"NVlabs/neuralangelo","https://github.com/NVlabs/neuralangelo","NVlabs","Python","4591","False","False","6/23/2023 8:52:42 PM","5/1/2026 10:13:07 AM","Official implementation of ""Neuralangelo: High-Fidelity Neural Surface Reconstruction"" (CVPR 2023)","3d-reconstruction;computer-graphics;computer-vision;neural-rendering;neural-representation","topic:computer-vision language:Python stars:>=50"
"hankcs/HanLP","https://github.com/hankcs/HanLP","hankcs","Python","36293","False","False","10/9/2014 6:36:16 AM","5/3/2026 5:27:42 PM","Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification","dependency-parser;hanlp;named-entity-recognition;natural-language-processing;nlp;pos-tagging;semantic-parsing;text-classification","semantic language:Python stars:>=50"
"rishizek/tensorflow-deeplab-v3-plus","https://github.com/rishizek/tensorflow-deeplab-v3-plus","rishizek","Python","840","False","False","2/25/2018 5:20:09 AM","3/18/2026 1:13:39 AM","DeepLabv3+ built in TensorFlow ","deeplab;deeplab-resnet;deeplabv3;deeplabv3plus;pascal-voc;tensorflow","topic:deeplabv3 language:Python stars:>=50"
"langgenius/dify","https://github.com/langgenius/dify","langgenius","TypeScript","139973","False","False","4/12/2023 7:40:24 AM","5/3/2026 6:00:44 PM","Production-ready platform for agentic workflow development.","agent;agentic-ai;agentic-framework;agentic-workflow;ai;automation;gemini;genai;gpt;gpt-4;llm;low-code;mcp;nextjs;no-code;openai;orchestration;python;rag;workflow","topic:llm stars:>=100"
"zijundeng/pytorch-semantic-segmentation","https://github.com/zijundeng/pytorch-semantic-segmentation","zijundeng","Python","1740","False","False","6/2/2017 6:45:33 AM","4/28/2026 12:23:40 PM","PyTorch for Semantic Segmentation","deep-learning;fully-convolutional-networks;pytorch;semantic-segmentation","semantic language:Python stars:>=50"
"WZMIAOMIAO/deep-learning-for-image-processing","https://github.com/WZMIAOMIAO/deep-learning-for-image-processing","WZMIAOMIAO","Python","26229","False","False","11/14/2019 3:02:27 PM","5/3/2026 9:19:26 AM","deep learning for image processing including classification and object-detection etc.","bilibili;classification;deep-learning;object-detection;pytorch;segmentation;tensorflow2","segmentation language:Python stars:>=50"
"roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38298","False","False","11/28/2022 2:08:44 PM","5/3/2026 2:15:30 PM","We write your reusable computer vision tools. 💜","classification;coco;computer-vision;deep-learning;hacktoberfest;image-processing;instance-segmentation;low-code;machine-learning;metrics;object-detection;oriented-bounding-box;pascal-voc;python;pytorch;tensorflow;tracking;video-processing;yolo","topic:computer-vision language:Python stars:>=50"
"obss/sahi","https://github.com/obss/sahi","obss","Python","5265","False","False","1/30/2021 12:54:53 PM","5/2/2026 3:12:07 AM","Framework agnostic sliced/tiled inference + interactive ui + error analysis plots","coco;computer-vision;deep-learning;explainable-ai;fiftyone;hacktoberfest;huggingface;instance-segmentation;large-image;machine-learning;mmdetection;object-detection;oriented-object-detection;python;pytorch;remote-sensing;satellite;small-object-detection;tiling;yolo11","topic:computer-vision language:Python stars:>=50"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","PaddlePaddle","Python","6943","False","False","4/20/2017 1:30:15 PM","5/2/2026 1:34:25 PM","Officially maintained, supported by PaddlePaddle, including CV, NLP, Speech, Rec, TS, big models and so on.","computer-vision;cv;deep-learning;models;natural-language-processing;neural-network;nlp;paddlepaddle;recommendation;speech","topic:computer-vision language:Python stars:>=50"
"huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21483","False","False","3/26/2020 9:23:22 AM","5/3/2026 11:48:10 AM","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools","ai;artificial-intelligence;computer-vision;dataset-hub;datasets;deep-learning;huggingface;llm;machine-learning;natural-language-processing;nlp;numpy;pandas;pytorch;speech;tensorflow","topic:computer-vision language:Python stars:>=50"
"GeneralLi95/deepglobe_land_cover_classification_with_deeplabv3plus","https://github.com/GeneralLi95/deepglobe_land_cover_classification_with_deeplabv3plus","GeneralLi95","Python","230","False","False","12/20/2018 8:28:41 AM","5/3/2026 3:54:02 PM","DeepGlobe Land Cover Classification Challenge遥感影像语义分割","deepglobe;deeplab-v3-plus;land-cover-challenge;satellite-images;tensorflow","topic:deeplab-v3-plus language:Python stars:>=50"
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37949","False","False","3/31/2023 12:12:45 PM","5/3/2026 4:23:31 PM","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","chatbot;chatchat;chatglm;chatgpt;embedding;faiss;fastchat;gpt;knowledge-base;langchain;langchain-chatglm;llama;llm;milvus;ollama;qwen;rag;retrieval-augmented-generation;streamlit;xinference","topic:llm stars:>=100"
"srihari-humbarwadi/person_segmentation_tf2.0","https://github.com/srihari-humbarwadi/person_segmentation_tf2.0","srihari-humbarwadi","Python","61","False","False","6/21/2019 10:28:44 AM","4/16/2025 3:32:18 AM","Using deepLabv3+ to segment humans","background-subtraction;deeplab-v3-plus;keras;keras-tensorflow;sematic-segmentation;tensorflow","topic:deeplab-v3-plus language:Python stars:>=50"
