"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"bigscience-workshop/petals","https://github.com/bigscience-workshop/petals","bigscience-workshop","Python","10112","False","False","6/12/2022 12:10:27 AM","5/3/2026 5:15:38 PM","🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading","bloom;chatbot;deep-learning;distributed-systems;falcon;gpt;guanaco;language-models;large-language-models;llama;machine-learning;mixtral;neural-networks;nlp;pipeline-parallelism;pretrained-models;pytorch;tensor-parallelism;transformer;volunteer-computing","topic:nlp stars:>=100"
"dromara/Sa-Token","https://github.com/dromara/Sa-Token","dromara","Java","18778","False","False","2/3/2020 10:34:29 AM","5/3/2026 3:54:00 AM","✨ 开源、免费、一站式 Java 权限认证框架，让鉴权变得简单、优雅！—— 登录认证、权限认证、分布式 Session 会话、微服务网关鉴权、SSO 单点登录、OAuth2.0 统一认证、jwt 集成、API Key 秘钥授权、API 参数签名","aouth2;authorization;java;springcloud;sso;token","topic:java language:Java stars:>=50"
"infinilabs/analysis-ik","https://github.com/infinilabs/analysis-ik","infinilabs","Java","17449","False","False","12/16/2011 9:01:45 AM","5/3/2026 9:04:06 AM","🚌 The IK Analysis plugin integrates Lucene IK analyzer into Elasticsearch and OpenSearch, support customized dictionary.","analyzer;easysearch;elasticsearch;ik-analysis;java;opensearch","topic:java language:Java stars:>=50"
"shasankp000/AI-Player","https://github.com/shasankp000/AI-Player","shasankp000","Java","120","False","False","7/6/2024 7:44:15 AM","5/1/2026 10:36:25 AM","A minecraft mod which aims to add a ""second player"" into the game which will actually be intelligent.","artificial-intelligence;game-modding;java;minecraft;minecraft-mod;natual-language-processing;nlp;q-learning;reinforcement-learning;reinforcement-learning-agent","topic:nlp language:Java stars:>=50"
"code4craft/netty-learning","https://github.com/code4craft/netty-learning","code4craft","Java","3550","False","False","9/19/2013 2:24:25 AM","4/29/2026 5:27:25 PM","Netty learning.","","n language:Java stars:>=50"
"memvid/memvid","https://github.com/memvid/memvid","memvid","Rust","15339","False","False","5/27/2025 4:01:08 PM","5/3/2026 3:27:07 PM","Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.","ai;context;embedded;faiss;knowledge-base;knowledge-graph;llm;machine-learning;memory;memvid;mv2;nlp;offline-first;opencv;python;rag;retrieval-augmented-generation;semantic-search;vector-database;video-processing","topic:nlp stars:>=100"
"p-v/DateTimeSeer","https://github.com/p-v/DateTimeSeer","p-v","Java","154","False","False","9/30/2016 5:40:57 PM","10/28/2025 10:45:59 PM","A painless way to pick future time.","android;datetime;nlp","topic:nlp language:Java stars:>=50"
"conductor-oss/conductor","https://github.com/conductor-oss/conductor","conductor-oss","Java","31756","False","False","12/8/2023 6:06:09 AM","5/3/2026 5:48:02 PM","Conductor is an event driven agentic orchestration platform providing durable and highly resilient execution engine for applications and AI Agents","distributed-systems;durable-execution;grpc;java;javascript;microservice-orchestration;orchestration-engine;orchestrator;reactjs;spring-boot;workflow-automation;workflow-engine;workflow-management;workflows","topic:java language:Java stars:>=50"
"dkhadoop/dk-fitting","https://github.com/dkhadoop/dk-fitting","dkhadoop","Java","185","False","False","6/20/2019 1:40:02 AM","4/2/2026 8:39:05 AM","Fitting是一个面向大数据的统一的开发框架，由大快搜索主导并完全开源，克服了大数据技术开发涉及技术面广,各组件间缺乏统一规范等问题，能有效降低大数据的学习难度，并提高大数据项目的开发效率并可与开源项目混用。 Fitting遵循Apache2.0开源协议，采用类黑箱框架模式，将大数据生态圈内各组件底层API根据应用组合封装为Fitting API服务。用户编程时直接引用Fitting框架，即可使用功能丰富的Fitting API，完成过去复杂的编码工作。 Fitting框架由数据处理（dataprocess）、数据源（datasource）、ElasticSQL引擎（elasticsql）、图计算（graphx）、机器学习（ml）、自然语言处理（nlp）、搜索(search)、SQL工具类、（sqlutils）、流计算（stream）九大部分组成，可以单独部署，也可整体部署。 Fitting支持C、C++、C#、Cocoa、Common Lisp、Dlang、Dart、Delphi、Erlang、Go、Haskell、Haxe、Java (SE)、Java (ME)、Lua、node.js、OCaml、Perl、PHP、Python、Ruby、Rust、Smalltalk等二十多种编程语言。","","nlp language:Java stars:>=50"
"microsoft/unilm","https://github.com/microsoft/unilm","microsoft","Python","22114","False","False","7/23/2019 4:15:28 AM","5/3/2026 2:16:58 AM","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities","beit;beit-3;bitnet;deepnet;document-ai;foundation-models;kosmos;kosmos-1;layoutlm;layoutxlm;llm;minilm;mllm;multimodal;nlp;pre-trained-model;textdiffuser;trocr;unilm;xlm-e","topic:nlp stars:>=100"
"hollischuang/toBeTopJavaer","https://github.com/hollischuang/toBeTopJavaer","hollischuang","Java","25430","False","False","10/25/2018 9:54:54 AM","5/2/2026 10:01:03 AM","To Be Top Javaer - Java工程师成神之路","design-patterns;java;jvm;mysql;programmer;spring","topic:java language:Java stars:>=50"
"Snailclimb/JavaGuide","https://github.com/Snailclimb/JavaGuide","Snailclimb","Java","155382","False","False","5/7/2018 1:27:00 PM","5/3/2026 5:43:19 PM","Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发","agent;context-engineering;interview;java;jvm;mcp;mysql;redis;redisson;skills;spring;system;system-design","topic:java language:Java stars:>=50"
"antlr/antlr4","https://github.com/antlr/antlr4","antlr","Java","18859","False","False","2/4/2010 1:36:28 AM","5/3/2026 1:45:55 PM","ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files.","antlr;antlr4;cpp;csharp;dart;golang;grammar;java;javascript;language-recognition;parse;parser-generator;parsing;php;python;swift","topic:java language:Java stars:>=50"
"rbmonster/learning-note","https://github.com/rbmonster/learning-note","rbmonster","Java","3802","False","False","6/15/2020 4:47:25 PM","5/1/2026 9:33:01 AM","Java开发及面试（个人面试、工作总结、资料收集站）","design;java;mysql;redis;spring","n language:Java stars:>=50"
"react-native-image-picker/react-native-image-picker","https://github.com/react-native-image-picker/react-native-image-picker","react-native-image-picker","Java","8634","False","False","6/8/2015 8:25:31 PM","5/3/2026 7:19:26 AM",":sunrise_over_mountains: A React Native module that allows you to use native UI to select media from the device library or directly from the camera.","image-picker;picker;react-native","n language:Java stars:>=50"
"nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14603","False","False","9/7/2009 10:53:58 AM","5/3/2026 11:03:07 AM","NLTK Source","machine-learning;natural-language-processing;nlp;nltk;python","topic:nlp stars:>=100"
"wix/react-native-notifications","https://github.com/wix/react-native-notifications","wix","Java","3341","False","False","4/6/2016 1:17:44 PM","4/28/2026 3:56:48 PM","React Native Notifications","","n language:Java stars:>=50"
"redisson/redisson","https://github.com/redisson/redisson","redisson","Java","24314","False","False","1/11/2014 2:06:25 PM","5/3/2026 8:51:30 AM","Redisson - Valkey & Redis Java client. Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Valkey and Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache..","cache;distributed;distributed-locks;executor;hibernate;java;json;lock;map;micronaut;quarkus;queue;redis;redis-client;scheduler;session;spring;tomcat;valkey;valkey-client","topic:java language:Java stars:>=50"
