"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"dromara/Sa-Token","https://github.com/dromara/Sa-Token","dromara","Java","18778","False","False","2/3/2020 10:34:29 AM","5/3/2026 3:54:00 AM","✨ 开源、免费、一站式 Java 权限认证框架，让鉴权变得简单、优雅！—— 登录认证、权限认证、分布式 Session 会话、微服务网关鉴权、SSO 单点登录、OAuth2.0 统一认证、jwt 集成、API Key 秘钥授权、API 参数签名","aouth2;authorization;java;springcloud;sso;token","topic:java language:Java stars:>=50"
"infinilabs/analysis-ik","https://github.com/infinilabs/analysis-ik","infinilabs","Java","17449","False","False","12/16/2011 9:01:45 AM","5/3/2026 9:04:06 AM","🚌 The IK Analysis plugin integrates Lucene IK analyzer into Elasticsearch and OpenSearch, support customized dictionary.","analyzer;easysearch;elasticsearch;ik-analysis;java;opensearch","topic:java language:Java stars:>=50"
"ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code","https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code","ashishpatel26","","33411","False","False","1/2/2021 12:08:37 PM","5/3/2026 5:55:00 PM","500 AI Machine learning Deep learning Computer vision NLP Projects with code","artificial-intelligence;artificial-intelligence-projects;awesome;computer-vision;computer-vision-project;data-science;deep-learning;deep-learning-project;machine-learning;machine-learning-projects;nlp;nlp-projects;python","topic:nlp stars:>=100"
"elki-project/elki","https://github.com/elki-project/elki","elki-project","Java","831","False","False","3/4/2015 2:45:49 PM","4/9/2026 3:49:10 PM","ELKI Data Mining Toolkit ","anomalydetection;cluster-analysis;clustering;data-analysis;data-mining;data-mining-algorithms;data-science;distance-functions;index;indexing;java;machine-learning;outlier-detection;outliers;time-series;visualization","topic:data-science language:Java stars:>=50"
"apache/amoro","https://github.com/apache/amoro","apache","Java","1127","False","False","7/14/2022 1:54:10 AM","4/26/2026 1:32:02 AM","Apache Amoro(incubating) is a Lakehouse management system built on open data lake formats.","big-data;data-lake;flink;hudi;iceberg;lake-house;management-system;paimon;self-optimizing;spark;trino","topic:big-data language:Java stars:>=50"
"alibaba/DataX","https://github.com/alibaba/DataX","alibaba","Java","17190","False","False","1/18/2018 10:09:47 AM","4/30/2026 2:18:24 AM","DataX是阿里云DataWorks数据集成的开源版本。","","d language:Java stars:>=50"
"singwhatiwanna/dynamic-load-apk","https://github.com/singwhatiwanna/dynamic-load-apk","singwhatiwanna","Java","6014","False","False","3/30/2014 11:51:00 AM","5/2/2026 9:59:30 AM","DL : dynamic load framework in android","","d language:Java stars:>=50"
"conductor-oss/conductor","https://github.com/conductor-oss/conductor","conductor-oss","Java","31756","False","False","12/8/2023 6:06:09 AM","5/3/2026 5:48:02 PM","Conductor is an event driven agentic orchestration platform providing durable and highly resilient execution engine for applications and AI Agents","distributed-systems;durable-execution;grpc;java;javascript;microservice-orchestration;orchestration-engine;orchestrator;reactjs;spring-boot;workflow-automation;workflow-engine;workflow-management;workflows","topic:java language:Java stars:>=50"
"hollischuang/toBeTopJavaer","https://github.com/hollischuang/toBeTopJavaer","hollischuang","Java","25430","False","False","10/25/2018 9:54:54 AM","5/2/2026 10:01:03 AM","To Be Top Javaer - Java工程师成神之路","design-patterns;java;jvm;mysql;programmer;spring","topic:java language:Java stars:>=50"
"Snailclimb/JavaGuide","https://github.com/Snailclimb/JavaGuide","Snailclimb","Java","155382","False","False","5/7/2018 1:27:00 PM","5/3/2026 5:43:19 PM","Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发","agent;context-engineering;interview;java;jvm;mcp;mysql;redis;redisson;skills;spring;system;system-design","topic:java language:Java stars:>=50"
"antlr/antlr4","https://github.com/antlr/antlr4","antlr","Java","18859","False","False","2/4/2010 1:36:28 AM","5/3/2026 1:45:55 PM","ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files.","antlr;antlr4;cpp;csharp;dart;golang;grammar;java;javascript;language-recognition;parse;parser-generator;parsing;php;python;swift","topic:java language:Java stars:>=50"
"microsoft/unilm","https://github.com/microsoft/unilm","microsoft","Python","22114","False","False","7/23/2019 4:15:28 AM","5/3/2026 2:16:58 AM","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities","beit;beit-3;bitnet;deepnet;document-ai;foundation-models;kosmos;kosmos-1;layoutlm;layoutxlm;llm;minilm;mllm;multimodal;nlp;pre-trained-model;textdiffuser;trocr;unilm;xlm-e","topic:nlp stars:>=100"
"spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","False","False","7/5/2011 9:04:38 AM","5/2/2026 7:28:55 PM","modest natural-language processing","named-entity-recognition;nlp;part-of-speech","topic:nlp stars:>=100"
"nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14603","False","False","9/7/2009 10:53:58 AM","5/3/2026 11:03:07 AM","NLTK Source","machine-learning;natural-language-processing;nlp;nltk;python","topic:nlp stars:>=100"
"redisson/redisson","https://github.com/redisson/redisson","redisson","Java","24314","False","False","1/11/2014 2:06:25 PM","5/3/2026 8:51:30 AM","Redisson - Valkey & Redis Java client. Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Valkey and Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache..","cache;distributed;distributed-locks;executor;hibernate;java;json;lock;map;micronaut;quarkus;queue;redis;redis-client;scheduler;session;spring;tomcat;valkey;valkey-client","topic:java language:Java stars:>=50"
"doocs/leetcode","https://github.com/doocs/leetcode","doocs","Java","35965","False","False","9/16/2018 2:03:03 PM","5/3/2026 5:59:19 PM","🔥LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解","algorithms;cpp;csharp;golang;java;javascript;leetcode;python3","topic:java language:Java stars:>=50"
"dianping/cat","https://github.com/dianping/cat","dianping","Java","18957","False","False","12/5/2012 2:31:48 AM","5/3/2026 2:32:52 AM","CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。","apm;distributed;java;metrics;monitoring;realtime;tracing","topic:java language:Java stars:>=50"
"RumbleDB/rumble","https://github.com/RumbleDB/rumble","RumbleDB","Java","239","False","False","9/4/2017 10:58:48 AM","4/30/2026 5:39:20 PM","Quick start: pip install jsoniq ⛈️ RumbleDB 2.1.0 ""Cedrus Libani"" 🌳  for Apache Spark | Run queries on your large-scale, messy datasets (JSON, text, CSV, Parquet, Delta...) | Data Lakehouse with Updates, Scripting, Declarative Machine Learning and more","azure;csv;data-science;dataframes;delta-lake;hdfs;json;jsoniq;lakehouse;machine-learning;nested;parquet;query;query-engine;s3;scale;schemaless;spark;svm;text","topic:data-science language:Java stars:>=50"
"yarolegovich/DiscreteScrollView","https://github.com/yarolegovich/DiscreteScrollView","yarolegovich","Java","5782","False","False","3/3/2017 11:38:54 PM","4/27/2026 1:28:40 PM","A scrollable list of items that centers the current element and provides easy-to-use APIs for cool item animations.","android;android-development;android-library;android-ui;carousel;discrete-scroll;item-picker;layoutmanager;page-transformations;recyclerview;recyclerviewpager;swipe;view;viewpager","d language:Java stars:>=50"
"macrozheng/mall","https://github.com/macrozheng/mall","macrozheng","Java","83534","False","False","4/4/2018 1:11:44 AM","5/3/2026 4:33:00 PM","mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。","docker;elasticsearch;elk;java;mongodb;mybatis;mysql;rabbitmq;redis;spring;spring-boot;spring-cloud;spring-security;springboot;springcloud;swagger-ui","topic:java language:Java stars:>=50"
