"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34115","False","False","4/9/2024 10:51:32 AM","5/3/2026 7:32:26 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"janhq/jan","https://github.com/janhq/jan","janhq","TypeScript","42339","False","False","8/17/2023 2:17:10 AM","5/3/2026 7:32:55 AM","Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.","chatgpt;gpt;llamacpp;llm;localai;open-source;self-hosted;tauri","topic:llm stars:>=100"
"HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34682","False","False","10/2/2024 11:57:54 AM","5/3/2026 8:12:48 AM","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""","genai;gpt;gpt-4;graphrag;knowledge-graph;large-language-models;llm;rag;retrieval-augmented-generation","topic:llm stars:>=100"
"jayparks/transformer","https://github.com/jayparks/transformer","jayparks","Python","578","False","False","1/4/2018 4:19:25 AM","3/6/2026 12:46:56 PM","A Pytorch Implementation of ""Attention is All You Need"" and ""Weighted Transformer Network for Machine Translation""","attention-is-all-you-need;attention-mechanism;machine-translation;self-attention","topic:attention-is-all-you-need language:Python stars:>=50"
"taki0112/UGATIT","https://github.com/taki0112/UGATIT","taki0112","Python","6130","False","False","7/26/2019 12:33:54 AM","5/3/2026 6:53:46 AM","Official Tensorflow implementation of U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation (ICLR 2020)","","attention language:Python stars:>=50"
"flashinfer-ai/flashinfer","https://github.com/flashinfer-ai/flashinfer","flashinfer-ai","Python","5547","False","False","7/22/2023 12:29:04 AM","5/3/2026 1:54:14 AM","FlashInfer: Kernel Library for LLM Serving","attention;cuda;distributed-inference;gpu;jit;large-large-models;llm-inference;moe;nvidia;pytorch","topic:attention language:Python stars:>=50 | attention language:Python stars:>=50"
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37951","False","False","3/31/2023 12:12:45 PM","5/3/2026 4:53:36 AM","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","chatbot;chatchat;chatglm;chatgpt;embedding;faiss;fastchat;gpt;knowledge-base;langchain;langchain-chatglm;llama;llm;milvus;ollama;qwen;rag;retrieval-augmented-generation;streamlit;xinference","topic:llm stars:>=100"
"lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16357","False","False","12/11/2020 4:35:13 PM","5/3/2026 5:44:25 AM","pix2tex: Using a ViT to convert images of equations into LaTeX code.","dataset;deep-learning;im2latex;im2markup;im2text;image-processing;image2text;latex;latex-ocr;machine-learning;math-ocr;ocr;python;pytorch;transformer;vision-transformer;vit","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50"
"allenai/bi-att-flow","https://github.com/allenai/bi-att-flow","allenai","Python","1542","False","False","6/22/2016 11:21:38 PM","4/2/2026 8:33:53 AM","Bi-directional Attention Flow (BiDAF) network is a multi-stage hierarchical process that represents context at different levels of granularity and uses a bi-directional attention flow mechanism to achieve a query-aware context representation without early summarization.","bidaf;nlp;question-answering;squad;tensorflow","attention language:Python stars:>=50"
"philipperemy/keras-attention","https://github.com/philipperemy/keras-attention","philipperemy","Python","2813","False","False","5/23/2017 5:28:01 AM","4/21/2026 7:04:42 AM","Keras Attention Layer (Luong and Bahdanau scores).","attention-mechanism;attention-model;deep-learning;keras;keras-neural-networks","attention language:Python stars:>=50"
